day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
3,2014,1,8,08/01/2014,12.9,-5.1,1031.1,10,6.3,11.1,20,21,9,0,999.9,0,473611
4,2014,1,9,09/01/2014,25.3,5.4,1035.2,10,2.8,8,999.9,32,9,0,999.9,0,479714
5,2014,1,3,03/01/2014,15.6,6.7,1014.9,3.8,10.1,15,25.1,24.8,10,0.58,999.9,1,275470
3,2014,1,29,29/01/2014,17.4,-2.4,1022,8.4,5.8,8.9,18.1,23,12,0.04,1.2,0,477984
4,2014,1,30,30/01/2014,21.2,0.2,1027.9,10,3.1,8.9,18.1,30,14,0,2,0,495971
2,2014,1,21,21/01/2014,25.2,13.3,9999.9,999.9,999.9,999.9,999.9,39.2,14,0,999.9,0,255518
5,2014,1,31,31/01/2014,30.7,9.9,1021.2,10,5,8.9,15.9,39,16,0,1.2,0,526748
3,2014,1,1,01/01/2014,28.2,10.7,1026.8,10,5.1,8.9,20,33.1,21,0,999.9,0,420810
1,2014,1,27,27/01/2014,34.8,17.4,1006.9,10,5.9,15,24.1,44.1,25,0,3.9,0,418863
7,2014,1,5,05/01/2014,30.3,21.9,1025.6,6.4,3.8,7,15,36,27,0,5.9,1,388542
6,2014,1,11,11/01/2014,47.7,45.2,1014.7,3.1,5.6,9.9,21,57.9,30,1.4,999.9,1,511172
6,2014,1,18,18/01/2014,37.6,26.9,9999.9,999.9,999.9,999.9,999.9,41,32,0,999.9,0,507033
1,2014,1,13,13/01/2014,42.7,29.3,1018,9.8,4.4,9.9,21,54,37,0.05,999.9,0,419698
2,2014,1,14,14/01/2014,48.3,40,1009.4,8.5,4.7,8.9,18.1,52,37,0,999.9,0,454108
7,2014,1,12,12/01/2014,47.6,33.8,1005,9.7,7.2,12,25.1,57.9,37,0.42,999.9,0,450487
2,2014,1,7,07/01/2014,12.3,-8,1015.6,999.9,13,19,31.1,36,3.9,0.27,1.2,0,460052
